time_s,handle_index,handle_label,x_m,y_m,vx_mps,vy_mps,speed_mps
0.0,0,head_front,8.8,9.056946762978818e-14,-0.5002852201434262,0.8048123217720888,0.9476329325061137
0.0,1,bench_1_front,8.306676606014157,-2.8171279980276864,-0.21690308818523735,0.9221584255922703,0.9473241850365205
0.0,2,bench_2_front,7.617031537448931,-4.316090448822562,-0.041189299362277866,0.9462396254907256,0.9471356751969509
0.0,3,bench_3_front,6.658373426437006,-5.6590270779574245,0.13622739553658078,0.9370957662745912,0.9469458160129561
0.0,4,bench_4_front,5.464350118809316,-6.797802473242182,0.309095830066615,0.8948764518453313,0.9467545068452853
0.0,5,bench_5_front,4.0772179649876295,-7.69131001875862,0.4712698218388556,0.8209033207459656,0.9465608839307593
0.0,6,bench_6_front,2.5463983171222937,-8.307016609517966,0.6169284317020088,0.7176413460760236,0.9463666263346924
0.0,7,bench_7_front,0.9267810472437081,-8.62220724139025,0.7407869375095599,0.588620444108012,0.9461708693500904
0.0,8,bench_8_front,-0.7232164834883875,-8.624908632243857,0.8382934822233752,0.4383264567492414,0.9459735963675396
0.0,9,bench_9_front,-2.34373739418327,-8.31442693173932,0.9058018320240862,0.2720503558789513,0.9457739449953434
0.0,10,bench_10_front,-3.8756610286546307,-7.701477699852048,0.9407172909389125,0.09570992555259865,0.9455735885274771
0.0,11,bench_11_front,-5.262755396985476,-6.807908498808706,0.9416002569337645,-0.08435957828549512,0.9453716635832903
0.0,12,bench_12_front,-6.453782260024285,-5.666004861760933,0.908236543839485,-0.26162801254272106,0.9451681525064982
0.0,13,bench_13_front,-7.404439881580072,-4.317393687494327,0.841660319769684,-0.4296080143884954,0.9449630362620711
0.0,14,bench_14_front,-8.079058426913901,-2.8116068317040925,0.7441330780968214,-0.5820914209470159,0.9447562967548647
0.0,15,bench_15_front,-8.452020444370374,-1.204311788460161,0.6190766599664734,-0.7133826839771256,0.9445479155202514
0.0,16,bench_16_front,-8.508815532170848,0.44471412917972813,0.47096135217267526,-0.818516598801421,0.9443378726672784
0.0,17,bench_17_front,-8.246692732160492,2.0737567046405125,0.30515633577031903,-0.8934505014146428,0.9441261503310054
0.0,18,bench_18_front,-7.674881927192171,3.621503690828224,0.12773842401041557,-0.9352294546549377,0.9439127278635652
0.0,19,bench_19_front,-6.814360370895007,5.02934242368813,-0.054723901499635644,-0.9421095613636705,0.9436975845090362
0.0,20,bench_20_front,-5.697189595295378,6.243597792645612,-0.23540846627935616,-0.9136403494929816,0.9434807015607984
0.0,21,bench_21_front,-4.365386844718031,7.2176567265557425,-0.40749716402183694,-0.8506993419083017,0.9432620574416515
0.0,22,bench_22_front,-2.8694277436138482,7.913800646411704,-0.5644316279308921,-0.7554773545695033,0.9430424676948818
0.0,23,bench_23_front,-1.2664132659073393,8.304741910863125,-0.7001646144116028,-0.6314107324167273,0.9428202375241934
0.0,24,bench_24_front,0.38209701243966404,8.374797019790313,-0.8094008897361509,-0.4830711774708032,0.942596182258713
0.0,25,bench_25_front,2.0123952989305574,8.120601538237711,-0.8878081108893152,-0.3160039611435737,0.9423702803141045
0.0,26,bench_26_front,3.5610966076266637,7.551368978746801,-0.9321985399725017,-0.13652824235095498,0.9421433430674468
0.0,27,bench_27_front,4.9675973868462515,6.688664667154463,-0.9406652010080343,0.04849668309763659,0.941914512394282
0.0,28,bench_28_front,6.176490441358995,5.565689486622482,-0.9126760588062908,0.23192827792336407,0.9416837656127884
0.0,29,bench_29_front,7.139803685563991,4.2260867459365485,-0.8491130337696553,0.4066167592495482,0.9414510783997823
0.0,30,bench_30_front,7.8189603837260515,2.7223399152453673,-0.752257715765386,0.5656825013380343,0.9412164274217761
0.0,31,bench_31_front,8.186418348505997,1.1137771140704407,-0.6257215533563476,0.7027912212683912,0.9409797888512789
0.0,32,bench_32_front,8.226883036624166,-0.5357298791094008,-0.4743213547911327,0.8124119272534409,0.9407411371650257
0.0,33,bench_33_front,7.938045848767753,-2.1602553794510095,-0.3039071430989294,0.8900458082370232,0.9405004478397918
0.0,34,bench_34_front,7.330819876333938,-3.6944577202333835,-0.12114361996201958,0.9324209124172425,0.9402576958315763
0.0,35,bench_35_front,6.429034873089486,-5.076229766488561,0.06674533069754958,0.9376402439954127,0.9400128543428022
0.0,36,bench_36_front,5.268617280722645,-6.249234206437877,0.25225621874432347,0.9052771632872869,0.9397658975854897
0.0,37,bench_37_front,3.8962561516776497,-7.165270469647351,0.4279052556672516,0.8364143161091387,0.939516799221799
0.0,38,bench_38_front,2.3676018463680872,-7.786336013830982,0.586532115110925,0.7336210301337722,0.9392655310991842
0.0,39,bench_39_front,0.7450938157281443,-8.086288047882348,0.7215935288033413,0.600871400084334,0.9390120660833737
0.0,40,bench_40_front,-0.9045485522118554,-8.052059474491646,0.8274405050945811,0.44340246376310766,0.9387563764589668
0.0,41,bench_41_front,-2.513051617413352,-7.684340540808679,0.8995631683308314,0.267517128860275,0.9384984326311092
0.0,42,bench_42_front,-4.013392824044087,-6.9977026358763865,0.9347919805600065,0.08034229482148411,0.9382382060311133
0.0,43,bench_43_front,-5.342633014332907,-6.020139521310661,0.9314502706597839,-0.11045490340516126,0.9379764881906306
0.0,44,bench_44_front,-6.44458773347171,-4.7920493883523,0.8894431987820749,-0.2969770865769964,0.9377124259662183
0.0,45,bench_45_front,-7.2722831656534765,-3.364667185548691,0.8102880140149171,-0.47142159153273894,0.9374459891745759
0.0,46,bench_46_front,-7.790051098277427,-1.798006727358629,0.6970732774926265,-0.6264102873403473,0.9371771456240964
0.0,47,bench_47_front,-7.975165281549442,-0.15842208170011038,0.5543534941696115,-0.75530444310986,0.9369058641504777
0.0,48,bench_48_front,-7.818966977304571,1.4841654799125337,0.38797849178690863,-0.8524977447683539,0.9366321129047273
0.0,49,bench_49_front,-7.327392868867321,3.0592377839704494,0.20486367953014756,-0.913670162337843,0.9363558579605786
0.0,50,bench_50_front,-6.520887940345837,4.498696572088409,0.01271328162020886,-0.9359907300635127,0.936077066429032
0.0,51,bench_51_front,-5.433681226093027,5.739859236784876,-0.1802995517314013,-0.9182623099614791,0.9357957032655877
0.0,52,bench_52_front,-4.112463859474863,6.728234524686738,-0.3658751162342731,-0.8609980282243738,0.9355117344457536
0.0,53,bench_53_front,-2.6144876856629082,7.420011747220125,-0.5359452883809299,-0.7664259146370742,0.9352251251784213
0.0,54,bench_54_front,-1.005162995294233,7.784111135961731,-0.6830282581095247,-0.6384179043873809,0.9349358384501615
